number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_units1,params_units2,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
20,0.0006729561137035489,2025-01-24 22:11:55.004274,2025-01-24 22:13:11.734281,0 days 00:01:16.730007,16,0.14298704930956907,100,0.004972796094337033,46,57,0.018117336486219816,0.0006925274710867335,0.9584753056932868,COMPLETE,0.0006925274710867335,0.018117336486219816,0.9584753056932868
21,0.0007322642486542463,2025-01-24 22:13:11.748144,2025-01-24 22:14:33.765182,0 days 00:01:22.017038,16,0.44153915876274774,100,0.0037050893323606155,62,57,0.0198510938338517,0.0008146610276217063,0.951152045878412,COMPLETE,0.0008146610276217063,0.0198510938338517,0.951152045878412
22,0.0006914202822372317,2025-01-24 22:14:33.779506,2025-01-24 22:15:56.246502,0 days 00:01:22.466996,16,0.15496744314764996,110,0.0040791073493673296,46,50,0.018221353942801704,0.0006924997853382118,0.9584769657606372,COMPLETE,0.0006924997853382118,0.018221353942801704,0.9584769657606372
23,0.0006687336135655642,2025-01-24 22:15:56.260982,2025-01-24 22:17:43.258620,0 days 00:01:46.997638,16,0.10208248711975643,150,0.007792130425820496,17,64,0.02187431275419749,0.0008759350273111038,0.9474779907509537,COMPLETE,0.0008759350273111038,0.02187431275419749,0.9474779907509537
24,0.0006641944055445492,2025-01-24 22:17:43.273283,2025-01-24 22:19:39.021189,0 days 00:01:55.747906,16,0.11106993096449963,160,0.009288527830116316,21,64,0.018857701540650407,0.0007163338105246169,0.9570478518968782,COMPLETE,0.0007163338105246169,0.018857701540650407,0.9570478518968782
25,0.0006557544693350792,2025-01-24 22:19:39.036124,2025-01-24 22:21:41.146190,0 days 00:02:02.110066,16,0.11669148561655428,170,0.008803627429701996,18,64,0.0410110994176822,0.0023932233721023284,0.8564997446552063,COMPLETE,0.0023932233721023284,0.0410110994176822,0.8564997446552063
26,0.0006714912597090006,2025-01-24 22:21:41.160837,2025-01-24 22:23:44.120453,0 days 00:02:02.959616,16,0.1003028116701062,170,0.00940761982467235,17,64,0.024075020891359294,0.001070491252566984,0.9358121895856355,COMPLETE,0.001070491252566984,0.024075020891359294,0.9358121895856355
27,0.0006923862383700907,2025-01-24 22:23:44.135104,2025-01-24 22:24:33.918183,0 days 00:00:49.783079,128,0.22279454891157996,180,0.007257453448265231,26,64,0.01835507241284149,0.000706180746297932,0.9576566405816476,COMPLETE,0.000706180746297932,0.01835507241284149,0.9576566405816476
28,0.0006804890581406653,2025-01-24 22:24:33.932619,2025-01-24 22:25:59.671939,0 days 00:01:25.739320,32,0.12025382123494406,160,0.006419571618169124,29,58,0.018251198074478614,0.0007041961601700141,0.9577756385069687,COMPLETE,0.0007041961601700141,0.018251198074478614,0.9577756385069687
29,0.0006863109301775694,2025-01-24 22:25:59.686447,2025-01-24 22:26:58.536362,0 days 00:00:58.849915,64,0.15856265907899375,170,0.009656577014790235,16,60,0.02492631108333018,0.0010381644837360337,0.9377505375208048,COMPLETE,0.0010381644837360337,0.02492631108333018,0.9377505375208048
30,0.0007029304397292435,2025-01-24 22:26:58.550833,2025-01-24 22:28:36.996981,0 days 00:01:38.446148,16,0.28385153278785236,150,0.0048006593352616445,24,25,0.03741938517051857,0.0019286208126302268,0.8843578153623817,COMPLETE,0.0019286208126302268,0.03741938517051857,0.8843578153623817
